Officer.Name,Document,Shield..,Tax..,Precinct.Command
Brandon Noel,<a href='https://web.archive.org/web/20170406170706/http://www.nydailynews.com/new-york/brooklyn/brooklyn-man-suing-parole-meeting-lands-rikers-article-1.3021179' target='_blank'>Details</a>,NA,NA,NA
Brayan Terrazas,<a href='https://web.archive.org/web/20170707173237/http://www.nydailynews.com/new-york/queens/off-duty-nypd-arrested-biting-wife-choking-article-1.3308886' target='_blank'>Details</a>,NA,NA,PSA 1
Brendan Bergin,<a href='https://web.archive.org/web/20171120045856/http://www.nydailynews.com/new-york/bronx/cops-framed-pair-two-for-one-dwi-bust-bronx-couple-claims-article-1.3644725' target='_blank'>Details</a>,NA,NA,52
Brendan Sullivan,<a href='https://web.archive.org/web/20220829195347/https://nyc.streetsblog.org/2022/08/29/cop-left-creepy-voicemail-for-311-user-after-illegal-parking-complaint-ccrb-finds/?s=03' target='_blank'>Details</a>,NA,NA,Police Service Area 2
Brendan Thompson,<a href='https://web.archive.org/web/20220414210346/https://www.thecity.nyc/2021/6/10/22528600/bronx-cops-in-kawaski-trawick-killing-guilty-of-misconduct-ccrb' target='_blank'>Details</a>,NA,NA,NA
Brendan Thompson,<a href='https://web.archive.org/web/20220414210537/https://www.propublica.org/article/the-nypd-said-the-killing-of-kawaski-trawick-appears-to-be-justified-video-shows-officers-escalated-the-situation' target='_blank'>Details</a>,NA,NA,NA
Brendan Thompson,<a href='https://web.archive.org/web/20220813005525/https://gothamist.com/news/mother-pleads-for-nypd-administrative-trial-more-than-three-years-after-police-killed-her-son' target='_blank'>Details</a>,NA,NA,NA
Brendan Thompson,<a href='https://web.archive.org/web/20230515221923/http://gothamist.com/news/family-of-bronx-man-shot-by-police-asks-mayor-adams-to-to-fire-the-nypd-officers-involved' target='_blank'>Details</a>,NA,NA,NA
Brian Alexander,<a href='https://web.archive.org/web/20221007234859/https://patch.com/new-york/bed-stuy/59-bed-stuy-cops-have-substantiated-misconduct-claims-data' target='_blank'>Details</a>,NA,NA,81
Brian Branigan,<a href='https://web.archive.org/web/20211213034133/https://www.nytimes.com/2008/05/12/nyregion/12guns.html' target='_blank'>Details</a>,NA,NA,NA
Brian Faustina,<a href='https://web.archive.org/web/20220422181956/https://www.propublica.org/article/ny-cop-salutes-violence-against-trump-protester-online-post-under-review' target='_blank'>Details</a>,NA,NA,Special Operations Division
Brian Flynn,<a href='https://web.archive.org/web/20230417152527/https://nypost.com/2023/04/13/nypd-capt-brian-flynn-sexually-harassed-underling-suit/' target='_blank'>Details</a>,NA,NA,50
Brian George,<a href='https://web.archive.org/web/20220421152907/https://www.huffpost.com/entry/killed-by-the-nypd-black-men_n_5600045' target='_blank'>Details</a>,NA,NA,NA
Brian Mahon,<a href='https://web.archive.org/web/20220206171200/https://www.changethenypd.org/releases/ccrb-opens-investigation-2019-nypd-killing-antonio-williams-family-demands-firings-officers' target='_blank'>Details</a>,NA,NA,NA
Brian Mahon,<a href='https://web.archive.org/web/20220224080334/https://www.nydailynews.com/news/crime/ny-bronx-cops-52nd-precinct-criticized-gun-cases-da-20190402-jkoh2knynfh3zlbqo6dhncczsu-story.html' target='_blank'>Details</a>,NA,NA,NA
